ID,Attrition
1171,No
1172,No
1173,Yes
1174,No
1175,No
1176,Yes
1177,Yes
1178,No
1179,Yes
1180,No
1181,No
1182,No
1183,No
1184,No
1185,No
1186,No
1187,Yes
1188,Yes
1189,No
1190,No
1191,No
1192,Yes
1193,Yes
1194,No
1195,No
1196,Yes
1197,No
1198,No
1199,No
1200,No
1201,No
1202,Yes
1203,Yes
1204,No
1205,No
1206,No
1207,No
1208,Yes
1209,Yes
1210,No
1211,Yes
1212,Yes
1213,Yes
1214,No
1215,Yes
1216,Yes
1217,No
1218,No
1219,No
1220,No
1221,No
1222,Yes
1223,Yes
1224,No
1225,No
1226,Yes
1227,No
1228,Yes
1229,Yes
1230,No
1231,No
1232,Yes
1233,Yes
1234,No
1235,Yes
1236,No
1237,Yes
1238,Yes
1239,No
1240,Yes
1241,No
1242,Yes
1243,Yes
1244,Yes
1245,No
1246,No
1247,No
1248,No
1249,No
1250,Yes
1251,Yes
1252,Yes
1253,No
1254,No
1255,No
1256,Yes
1257,No
1258,No
1259,No
1260,No
1261,No
1262,No
1263,No
1264,No
1265,No
1266,No
1267,No
1268,No
1269,No
1270,No
1271,No
1272,No
1273,Yes
1274,No
1275,Yes
1276,No
1277,No
1278,No
1279,Yes
1280,No
1281,Yes
1282,No
1283,No
1284,No
1285,No
1286,No
1287,No
1288,No
1289,No
1290,No
1291,No
1292,Yes
1293,No
1294,Yes
1295,No
1296,Yes
1297,No
1298,No
1299,No
1300,No
1301,Yes
1302,Yes
1303,No
1304,No
1305,No
1306,No
1307,Yes
1308,No
1309,No
1310,No
1311,No
1312,No
1313,Yes
1314,Yes
1315,No
1316,Yes
1317,No
1318,No
1319,No
1320,No
1321,No
1322,No
1323,No
1324,No
1325,No
1326,No
1327,No
1328,No
1329,No
1330,No
1331,No
1332,No
1333,No
1334,No
1335,No
1336,No
1337,Yes
1338,No
1339,No
1340,Yes
1341,No
1342,Yes
1343,No
1344,No
1345,Yes
1346,Yes
1347,No
1348,Yes
1349,No
1350,No
1351,No
1352,Yes
1353,Yes
1354,No
1355,Yes
1356,Yes
1357,No
1358,No
1359,No
1360,Yes
1361,No
1362,No
1363,No
1364,No
1365,No
1366,No
1367,No
1368,Yes
1369,No
1370,Yes
1371,No
1372,Yes
1373,Yes
1374,No
1375,Yes
1376,Yes
1377,No
1378,No
1379,Yes
1380,Yes
1381,Yes
1382,Yes
1383,No
1384,No
1385,Yes
1386,No
1387,Yes
1388,Yes
1389,Yes
1390,No
1391,NA
1392,NA
1393,NA
1394,NA
1395,NA
1396,NA
1397,NA
1398,NA
1399,NA
1400,NA
1401,NA
1402,NA
1403,NA
1404,NA
1405,NA
1406,NA
1407,NA
1408,NA
1409,NA
1410,NA
1411,NA
1412,NA
1413,NA
1414,NA
1415,NA
1416,NA
1417,NA
1418,NA
1419,NA
1420,NA
1421,NA
1422,NA
1423,NA
1424,NA
1425,NA
1426,NA
1427,NA
1428,NA
1429,NA
1430,NA
1431,NA
1432,NA
1433,NA
1434,NA
1435,NA
1436,NA
1437,NA
1438,NA
1439,NA
1440,NA
1441,NA
1442,NA
1443,NA
1444,NA
1445,NA
1446,NA
1447,NA
1448,NA
1449,NA
1450,NA
1451,NA
1452,NA
1453,NA
1454,NA
1455,NA
1456,NA
1457,NA
1458,NA
1459,NA
1460,NA
1461,NA
1462,NA
1463,NA
1464,NA
1465,NA
1466,NA
1467,NA
1468,NA
1469,NA
1470,NA
